JunctionID,ArrestSurrenderID,AccusedMasterID
418,342,771
419,343,772
420,344,776
421,344,777
422,345,778
423,345,776
424,346,779
425,347,780
426,348,782
427,349,783
428,350,784
429,350,785
430,351,787
431,352,789
432,353,792
433,354,795
434,355,796
435,356,797
436,357,798
437,358,800
438,359,804
439,360,806
440,361,810
441,361,809
442,362,811
443,363,815
444,364,819
445,364,820
446,365,821
447,366,826
448,366,825
449,367,831
450,367,832
451,368,834
452,369,834
453,370,841
454,371,842
455,372,843
456,373,847
457,374,850
458,374,851
459,375,851
460,376,858
461,377,861
462,377,860
463,378,862
464,378,863
465,379,862
466,379,863
467,380,864
468,381,868
469,381,867
470,382,868
471,382,867
472,383,869
473,383,871
474,384,872
475,385,873
476,386,874
477,386,875
478,387,876
479,388,878
480,389,879
481,390,880
482,391,881
483,392,883
484,393,885
485,394,887
486,394,888
487,395,887
488,395,888
489,396,890
490,396,889
491,397,893
492,398,894
493,399,897
494,399,896
495,400,901
496,401,903
497,401,904
498,402,913
499,403,914
500,403,915
501,404,914
502,404,915
503,405,920
504,406,922
505,407,928
506,408,933
507,409,936
508,409,935
509,410,938
510,411,939
511,412,943
512,413,947
513,413,946
514,414,953
515,415,955
516,416,957
517,417,963
518,418,972
519,419,974
520,419,973
521,420,973
522,421,975
523,422,978
524,423,982
525,424,988
526,425,991
527,426,994
528,426,992
529,427,996
530,427,995
531,428,998
532,428,997
533,429,999
534,430,1002
535,430,1001
536,431,1001
537,431,1000
538,432,1004
539,433,1003
540,434,1005
541,434,1006
542,435,1007
543,436,1008
544,437,1009
545,438,1011
546,439,1013
547,440,1014
548,441,1015
549,442,1016
550,443,1019
551,444,1023
552,444,1020
553,445,1027
554,446,1030
555,447,1030
556,448,1032
557,449,1035
558,450,1037
559,451,1040
560,451,1039
561,452,1039
562,452,1040
563,453,1042
564,454,1043
565,455,1047
566,455,1045
567,456,1048
568,457,1049
