ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
42,42,1,2023-10-05 15:13:00,1,18,2,68,10,93,True,True
43,43,1,2024-06-23 20:16:00,1,17,35,117,8,95,True,False
44,44,2,2026-03-23 01:26:00,1,1,64,103,17,98,True,False
45,44,2,2026-06-10 16:29:00,1,18,35,82,23,97,True,False
46,45,1,2025-10-02 03:29:00,1,15,35,51,2,102,True,True
47,46,2,2023-03-13 06:19:00,1,13,27,152,33,104,True,False
48,46,2,2025-01-05 16:14:00,1,16,30,55,26,105,True,False
49,47,1,2024-04-21 22:00:00,1,9,2,160,8,107,True,False
50,48,1,2025-03-21 04:22:00,2,18,34,202,11,111,True,False
51,49,1,2023-06-24 19:02:00,1,6,46,116,30,112,True,False
52,51,2,2026-04-26 22:17:00,1,2,13,145,14,116,True,False
53,52,1,2023-05-02 19:30:00,2,18,40,26,10,117,True,False
54,53,2,2023-11-06 23:24:00,1,19,33,148,27,120,True,False
55,54,2,2023-10-23 05:18:00,1,16,2,68,14,121,True,False
56,55,1,2023-03-14 06:19:00,1,20,49,135,28,124,True,False
57,56,1,2026-01-23 12:28:00,1,1,22,15,10,127,True,False
58,58,2,2025-04-28 23:08:00,1,8,9,147,24,131,True,False
59,59,2,2026-05-23 10:01:00,1,15,8,25,32,132,True,False
60,60,1,2025-08-02 06:39:00,5,1,60,23,13,133,True,False
61,61,1,2026-01-12 12:36:00,1,4,6,191,33,134,True,True
62,63,1,2024-06-03 10:55:00,1,4,36,191,27,140,True,False
63,64,1,2025-08-28 00:29:00,1,18,33,79,16,141,True,True
64,66,1,2024-01-12 11:09:00,1,10,12,166,26,145,True,False
65,67,2,2023-06-18 04:46:00,1,19,3,150,18,146,True,False
66,68,1,2024-03-02 21:11:00,4,20,54,165,23,150,True,False
67,70,2,2026-05-19 09:46:00,1,3,72,7,9,155,True,False
68,71,1,2025-02-21 01:08:00,1,12,14,28,37,158,True,False
69,72,1,2025-05-30 17:56:00,1,3,52,194,19,161,True,True
70,73,2,2023-09-17 06:29:00,1,17,49,16,1,162,True,False
71,74,1,2025-06-16 21:35:00,1,17,12,145,8,164,True,False
72,75,1,2023-06-25 13:19:00,1,19,6,13,26,166,True,False
73,76,1,2024-07-24 17:17:00,1,11,66,112,18,168,True,True
74,78,2,2024-10-14 08:27:00,1,19,24,38,1,172,True,False
75,78,1,2023-01-30 11:57:00,2,16,43,1,14,171,True,False
76,83,2,2025-07-17 07:37:00,1,10,15,157,1,191,True,False
77,83,2,2023-01-06 00:37:00,1,4,12,99,37,188,True,False
78,84,2,2026-04-06 21:34:00,1,7,74,187,30,192,True,False
79,85,2,2026-01-17 02:54:00,1,11,71,109,31,193,True,False
80,86,2,2024-03-24 07:27:00,1,1,16,25,16,196,True,True
81,89,2,2024-06-14 10:32:00,1,20,19,195,37,202,True,False
82,90,1,2023-05-21 11:13:00,1,9,42,196,16,203,True,False
83,91,2,2026-03-23 19:38:00,1,11,33,73,38,206,True,False
84,92,1,2023-04-30 17:08:00,1,2,35,165,2,208,True,False
85,93,1,2024-03-31 16:28:00,1,5,37,1,10,210,True,True
86,93,1,2025-10-14 08:44:00,1,12,42,35,30,210,True,False
87,94,1,2024-12-06 14:01:00,1,6,2,76,6,212,True,False
88,95,2,2023-08-08 17:07:00,5,5,54,18,12,214,True,False
89,96,1,2023-03-06 01:29:00,1,13,23,57,4,215,True,False
90,97,1,2026-02-24 07:33:00,1,3,19,118,6,218,True,False
91,99,2,2023-05-21 11:05:00,2,19,17,8,17,220,True,False
92,101,1,2024-06-13 09:24:00,1,11,6,79,12,223,True,False
93,102,1,2023-08-08 19:05:00,3,13,43,61,1,224,True,False
94,103,2,2025-10-04 04:16:00,1,7,31,90,36,227,True,True
95,105,2,2023-07-27 23:43:00,1,6,17,212,30,232,True,False
96,106,2,2025-03-04 11:59:00,5,13,52,40,9,233,True,False
97,108,2,2025-11-11 08:50:00,4,18,38,122,30,237,True,False
98,108,2,2023-01-31 01:26:00,1,7,14,207,33,236,True,False
99,109,1,2024-10-03 08:51:00,2,5,27,79,4,239,True,False
100,109,1,2023-08-15 04:05:00,4,18,44,203,28,239,True,False
101,110,1,2023-02-05 12:42:00,1,9,36,206,19,241,True,False
102,110,2,2024-02-05 17:35:00,1,20,11,136,10,240,True,True
103,111,2,2024-04-06 10:43:00,4,8,37,129,33,242,True,False
104,113,1,2025-04-09 12:16:00,1,14,3,89,7,245,True,False
105,113,2,2024-09-28 06:42:00,1,6,36,22,12,244,True,False
106,116,2,2023-01-09 07:31:00,1,17,19,26,33,249,True,True
107,119,1,2026-05-02 14:35:00,1,7,7,21,6,253,True,False
108,122,1,2023-08-08 22:31:00,4,4,13,151,30,259,True,True
109,125,1,2025-11-05 08:06:00,1,12,75,166,19,266,True,True
110,126,1,2024-02-26 14:21:00,1,4,29,87,34,270,True,False
111,126,1,2026-02-17 16:43:00,1,16,57,134,1,271,True,True
112,127,1,2025-08-16 03:26:00,1,2,14,110,2,273,True,False
113,128,1,2026-05-05 18:40:00,2,5,50,65,31,275,True,True
114,130,1,2025-07-05 13:35:00,1,8,14,2,12,277,True,False
115,130,2,2024-12-21 14:55:00,1,18,65,9,1,277,True,False
116,131,1,2025-03-20 05:10:00,1,5,16,101,38,279,True,False
117,132,2,2025-03-26 21:30:00,1,15,3,100,29,280,True,False
118,134,2,2023-10-18 02:20:00,1,8,8,189,8,284,True,True
119,135,2,2023-01-20 06:12:00,1,1,47,12,34,285,True,False
120,136,1,2026-03-29 04:18:00,1,4,70,219,19,290,True,False
121,137,2,2026-05-15 02:52:00,1,4,2,81,15,292,True,False
122,138,2,2025-09-02 23:23:00,1,3,71,100,19,294,True,True
123,139,2,2024-04-21 09:35:00,1,20,12,24,1,296,True,False
124,142,2,2025-11-01 18:50:00,1,5,55,220,8,304,True,False
125,143,1,2023-10-08 17:49:00,1,11,10,115,32,305,True,False
126,145,2,2025-11-03 03:21:00,1,19,47,67,10,309,True,True
127,147,1,2023-11-11 09:50:00,1,13,38,112,24,313,True,False
128,148,2,2023-05-13 14:06:00,1,2,4,118,14,315,True,False
129,149,2,2025-09-11 17:41:00,1,13,30,124,4,318,True,False
130,149,1,2025-12-21 00:49:00,1,10,24,114,19,317,True,False
131,150,1,2025-02-24 01:10:00,1,15,73,45,22,322,True,False
132,151,2,2023-04-04 14:26:00,4,6,55,65,9,323,True,False
133,152,2,2023-05-19 22:13:00,1,5,44,54,36,327,True,True
134,153,1,2024-03-22 16:27:00,1,12,65,214,31,328,True,False
135,154,2,2026-04-26 21:14:00,1,17,23,15,22,329,True,False
136,155,1,2025-08-29 06:36:00,1,1,54,191,6,331,True,False
137,156,1,2024-10-05 06:43:00,1,9,42,106,29,332,True,False
138,157,2,2024-06-05 05:27:00,1,11,10,151,2,333,True,False
139,158,2,2024-03-06 12:47:00,1,6,17,117,14,335,True,False
140,158,1,2025-09-14 03:06:00,1,6,10,214,30,334,True,False
141,159,1,2025-05-16 05:03:00,1,16,38,41,40,337,True,False
142,161,1,2023-03-08 11:11:00,1,13,14,214,28,342,True,False
143,162,2,2026-03-10 17:00:00,1,6,13,69,12,344,True,True
144,163,2,2026-01-23 00:55:00,1,2,10,116,30,348,True,False
145,164,2,2023-03-22 10:43:00,1,7,2,9,19,350,True,False
146,165,1,2024-06-03 08:24:00,1,15,74,58,8,353,True,True
147,166,1,2026-02-11 00:34:00,1,14,29,145,3,357,True,True
148,167,2,2023-08-11 22:38:00,1,12,29,189,39,358,True,False
149,168,1,2026-01-12 02:10:00,1,16,74,31,25,360,True,False
150,169,2,2023-05-02 04:53:00,1,19,56,184,27,362,True,True
151,170,1,2026-02-06 20:19:00,1,15,46,53,38,363,True,True
152,171,2,2024-09-09 00:26:00,1,1,64,94,27,365,True,False
153,172,1,2026-05-03 01:10:00,1,4,24,198,5,366,True,False
154,173,2,2026-01-15 18:58:00,1,9,5,150,15,367,True,False
155,174,1,2023-01-14 05:15:00,2,7,46,18,3,369,True,False
156,175,1,2026-06-20 23:14:00,1,2,44,73,22,371,True,False
157,176,2,2024-03-02 19:12:00,1,18,32,50,11,372,True,False
158,177,1,2023-01-15 17:01:00,5,14,45,145,35,373,True,False
159,179,1,2026-04-02 01:28:00,1,3,43,193,39,377,True,True
160,180,1,2025-10-13 12:12:00,1,5,10,124,30,378,True,False
161,181,1,2025-02-25 05:38:00,1,3,35,165,6,380,True,False
162,181,1,2024-01-06 12:28:00,1,4,10,180,15,380,True,False
163,182,1,2025-05-17 08:30:00,1,13,41,39,33,382,True,True
164,183,1,2026-06-25 13:07:00,1,5,58,208,15,385,True,False
165,185,2,2024-10-07 04:17:00,1,18,8,49,11,391,True,False
166,185,2,2024-12-27 00:20:00,1,8,13,70,14,390,True,False
167,187,2,2025-09-20 18:29:00,1,2,18,67,30,396,True,False
168,187,1,2023-11-11 02:32:00,1,9,70,61,17,397,True,False
169,188,2,2026-01-16 15:31:00,1,1,6,111,32,398,True,True
170,189,2,2024-12-26 03:22:00,2,6,8,43,22,399,True,True
171,189,2,2025-10-28 11:47:00,3,2,68,136,13,400,True,False
172,190,1,2025-04-08 05:01:00,1,16,66,69,26,402,True,True
173,191,2,2025-02-03 02:50:00,1,7,75,101,11,403,True,False
174,192,1,2024-12-23 23:50:00,1,4,52,44,20,404,True,True
175,193,1,2023-01-27 02:54:00,1,9,22,203,11,406,True,False
176,194,1,2026-05-01 00:50:00,1,19,2,156,27,407,True,True
177,195,2,2023-01-01 08:58:00,1,14,44,212,4,411,True,False
178,196,2,2023-03-22 00:45:00,1,16,30,158,5,413,True,False
179,198,1,2023-10-03 05:19:00,1,7,60,24,6,418,True,False
180,199,1,2025-12-19 04:29:00,1,14,63,169,3,419,True,False
181,200,1,2025-08-28 13:55:00,1,14,17,101,19,422,True,False
182,201,2,2024-04-12 14:11:00,1,1,26,70,28,425,True,False
183,201,1,2023-08-16 06:55:00,1,5,26,202,27,424,True,False
184,203,2,2024-09-05 04:12:00,1,3,13,100,23,431,True,False
185,203,2,2024-01-01 14:30:00,1,7,50,134,24,431,True,True
186,204,2,2026-05-22 09:11:00,1,7,6,210,18,433,True,True
187,206,2,2023-02-10 02:53:00,1,17,64,159,40,436,True,False
188,207,1,2024-08-10 17:14:00,1,2,57,79,18,437,True,False
189,209,2,2024-11-17 06:32:00,1,12,50,147,17,439,True,True
190,210,2,2024-04-06 12:53:00,1,10,18,108,36,442,True,False
191,210,1,2025-11-22 13:46:00,1,6,35,17,1,443,True,False
192,211,2,2025-09-13 23:17:00,1,11,23,24,26,447,True,False
193,211,1,2023-03-08 18:49:00,1,19,29,123,35,446,True,False
194,212,2,2023-07-12 09:14:00,1,16,59,130,34,449,True,False
195,213,2,2023-06-18 17:48:00,1,13,58,216,23,450,True,True
196,214,2,2024-04-23 12:35:00,1,5,9,95,20,451,True,False
197,215,1,2023-05-03 04:28:00,1,20,61,179,11,453,True,False
198,215,2,2023-03-25 22:29:00,1,10,72,99,2,452,True,False
199,216,1,2024-11-22 01:14:00,1,14,32,114,18,456,True,True
200,217,2,2025-06-20 21:13:00,1,13,3,210,26,457,True,True
201,217,1,2024-01-11 13:26:00,1,5,61,148,18,457,True,False
202,218,2,2024-11-04 06:32:00,1,15,43,174,39,459,True,False
203,218,2,2024-02-23 09:43:00,1,7,22,179,33,460,True,True
204,219,2,2023-02-14 21:40:00,1,11,39,147,9,462,True,False
205,221,2,2023-06-09 17:55:00,1,18,52,175,29,465,True,False
206,222,1,2025-04-03 05:36:00,1,2,2,122,13,470,True,False
207,223,1,2025-10-01 03:35:00,1,19,20,108,21,471,True,False
208,223,1,2025-12-29 13:52:00,1,15,40,157,17,471,True,False
209,224,1,2023-06-28 21:49:00,1,7,31,84,20,474,True,False
210,226,2,2025-07-09 00:24:00,1,20,23,17,40,476,True,False
211,227,2,2026-05-28 16:10:00,1,12,35,60,36,478,True,False
212,227,1,2025-08-12 23:34:00,1,5,15,107,31,477,True,False
213,228,1,2024-12-04 20:33:00,3,8,75,194,4,479,True,False
214,229,1,2024-11-03 00:12:00,5,5,58,199,3,480,True,False
215,230,2,2023-03-29 14:56:00,2,14,7,53,2,481,True,False
216,231,1,2025-12-18 05:38:00,1,13,54,141,12,485,True,False
217,232,1,2025-07-26 04:33:00,1,1,65,169,38,487,True,False
218,233,2,2023-07-01 02:26:00,1,15,70,1,28,488,True,False
219,233,2,2025-03-13 04:00:00,2,16,72,9,34,489,True,False
220,235,2,2024-02-03 21:57:00,1,6,34,72,18,491,True,False
221,236,2,2024-11-15 16:43:00,1,6,63,2,6,496,True,False
222,238,1,2025-04-15 19:01:00,1,12,75,24,10,498,True,False
223,239,2,2026-03-13 14:25:00,1,6,8,64,40,499,True,True
224,240,1,2025-02-07 10:08:00,1,10,40,11,23,500,True,False
225,241,2,2025-01-22 08:43:00,1,3,3,63,26,503,True,False
226,242,2,2025-10-17 07:33:00,1,19,48,71,26,504,True,True
227,243,1,2025-02-19 12:51:00,2,14,60,155,40,505,True,True
228,244,2,2026-03-07 15:58:00,1,19,23,35,4,506,True,False
229,245,1,2023-01-23 12:26:00,1,14,51,19,30,510,True,True
230,246,1,2026-04-19 23:38:00,4,20,71,64,14,511,True,False
231,247,2,2025-10-11 14:39:00,4,18,24,96,28,517,True,False
232,247,1,2023-04-11 16:55:00,1,9,33,156,16,516,True,False
233,248,1,2023-11-13 04:25:00,1,7,2,8,1,518,True,False
234,249,2,2023-10-28 19:46:00,1,15,9,203,20,521,True,False
235,251,1,2024-02-23 16:51:00,1,4,74,127,21,524,True,False
236,252,2,2024-11-01 21:24:00,1,19,39,41,9,529,True,False
237,252,1,2025-11-28 05:14:00,1,5,44,213,15,528,True,False
238,253,1,2026-06-28 08:35:00,4,20,52,33,37,530,True,False
239,254,1,2025-08-28 21:23:00,1,1,32,161,1,532,True,True
240,255,2,2026-03-17 10:30:00,1,17,20,194,19,535,True,False
241,255,2,2024-06-11 03:45:00,1,10,21,82,15,535,True,False
242,256,2,2023-07-18 00:03:00,1,11,64,126,32,537,True,False
243,257,1,2024-04-07 13:05:00,1,12,74,196,12,538,True,False
244,258,1,2026-04-24 06:33:00,1,20,62,50,14,542,True,True
245,260,2,2024-07-17 14:18:00,1,10,71,156,1,545,True,False
246,261,2,2023-09-21 07:20:00,1,18,9,2,31,549,True,True
247,262,1,2025-08-23 20:02:00,1,20,72,219,23,550,True,False
248,263,2,2023-06-10 08:22:00,2,18,50,50,17,554,True,False
249,264,1,2024-12-06 11:34:00,1,12,11,187,7,555,True,False
250,265,2,2025-01-19 07:38:00,1,20,15,102,4,557,True,True
251,266,1,2023-01-26 22:19:00,1,1,41,80,8,559,True,False
252,268,1,2024-03-04 18:24:00,1,18,51,197,11,564,True,False
253,269,2,2024-07-24 20:44:00,5,18,3,169,29,565,True,False
254,270,2,2023-07-05 12:18:00,1,20,56,182,39,567,True,False
255,271,1,2024-02-14 01:59:00,1,14,25,155,30,569,True,False
256,272,1,2025-06-03 15:02:00,1,17,65,185,39,571,True,True
257,274,1,2026-01-12 23:52:00,1,4,37,57,6,575,True,False
258,275,1,2023-07-17 10:34:00,1,13,36,142,22,577,True,False
259,276,1,2023-09-02 03:38:00,1,8,52,9,19,580,True,True
260,277,2,2023-01-15 15:30:00,1,8,35,94,18,582,True,False
261,278,1,2025-06-27 02:18:00,2,7,50,191,5,584,True,False
262,279,2,2025-04-15 04:55:00,1,16,53,47,16,588,True,False
263,280,1,2023-10-10 23:24:00,3,8,10,190,35,591,True,False
264,280,2,2023-01-13 06:58:00,1,16,50,133,26,590,True,False
265,281,2,2025-03-21 07:27:00,1,2,2,95,3,593,True,False
266,282,2,2023-01-17 19:34:00,1,14,16,3,14,594,True,False
267,282,1,2023-10-21 11:08:00,1,8,3,156,17,594,True,False
268,283,2,2026-03-10 14:44:00,1,15,47,60,8,596,True,False
269,284,2,2023-03-30 04:55:00,1,18,60,90,32,598,True,False
270,285,1,2023-03-31 10:18:00,1,19,72,155,19,600,True,False
271,286,1,2026-07-15 17:07:00,1,4,71,153,25,603,True,False
272,287,2,2025-03-26 12:10:00,1,10,22,153,24,606,True,False
273,289,2,2023-01-25 07:51:00,1,14,53,27,27,611,True,False
274,290,2,2025-07-08 20:09:00,1,1,54,104,2,612,True,False
275,291,2,2025-10-29 11:01:00,1,3,10,96,13,614,True,False
276,293,2,2025-10-14 03:20:00,1,3,55,14,23,617,True,True
277,294,2,2024-09-10 02:13:00,1,6,32,152,21,618,True,False
278,294,2,2024-06-25 23:47:00,1,2,47,55,7,619,True,False
279,295,1,2026-03-18 23:05:00,1,15,68,164,37,620,True,True
280,296,1,2025-05-29 10:24:00,4,19,16,142,16,624,True,False
281,297,2,2025-03-21 17:00:00,1,18,48,176,30,625,True,False
282,298,1,2026-01-15 08:15:00,4,16,1,207,7,626,True,False
283,299,2,2024-05-10 06:12:00,1,14,19,177,39,627,True,True
284,300,2,2024-08-15 08:02:00,1,19,24,144,9,631,True,False
285,301,2,2026-06-18 18:41:00,1,15,24,67,11,632,True,True
286,302,1,2025-12-31 10:41:00,1,6,19,12,9,634,True,False
287,303,1,2023-05-14 13:39:00,1,9,25,59,12,637,True,False
288,304,2,2023-05-25 19:37:00,1,10,68,39,39,638,True,False
289,305,2,2024-07-04 22:21:00,1,3,17,100,4,641,True,True
290,306,1,2024-02-18 17:14:00,1,20,16,8,1,642,True,True
291,307,1,2025-06-04 20:46:00,1,5,20,33,32,644,True,True
292,308,2,2025-11-02 22:02:00,1,3,51,103,20,648,True,True
293,310,1,2024-05-02 12:51:00,1,12,5,86,40,652,True,False
294,311,1,2023-03-18 20:30:00,1,10,39,187,4,654,True,False
295,312,2,2025-01-21 16:10:00,1,14,55,117,27,655,True,False
296,313,1,2023-01-29 01:15:00,1,14,52,49,33,656,True,False
297,314,2,2024-07-01 10:38:00,1,10,63,166,38,658,True,False
298,316,2,2026-05-10 02:16:00,5,16,65,110,3,663,True,False
299,316,1,2023-10-20 13:49:00,1,10,56,76,14,664,True,False
300,317,1,2023-09-25 03:10:00,3,13,71,150,35,666,True,False
301,319,1,2024-05-30 00:00:00,1,11,10,47,29,674,True,True
302,320,2,2025-10-16 09:11:00,5,17,21,88,26,676,True,True
303,321,1,2023-09-21 06:28:00,1,17,68,165,35,682,True,True
304,321,2,2023-05-19 12:33:00,1,18,7,99,5,679,True,False
305,322,2,2025-03-12 00:48:00,1,15,42,132,28,685,True,True
306,323,1,2026-01-14 07:00:00,1,13,57,40,13,688,True,True
307,323,1,2026-03-21 04:26:00,1,18,11,99,26,687,True,False
308,326,2,2025-11-03 13:17:00,1,11,43,128,34,695,True,True
309,327,2,2024-12-22 03:11:00,1,12,33,121,28,697,True,False
310,331,1,2024-08-19 21:03:00,1,14,46,19,27,703,True,True
311,332,1,2024-06-09 09:16:00,1,5,9,198,33,706,True,True
312,333,1,2025-12-19 13:58:00,1,7,69,110,2,708,True,False
313,334,1,2024-05-17 13:12:00,1,15,6,160,20,711,True,False
314,335,1,2023-12-22 01:51:00,1,14,43,188,4,712,True,False
315,337,2,2026-03-30 00:37:00,1,7,56,164,5,714,True,True
316,338,1,2024-07-12 10:09:00,5,16,72,69,8,715,True,False
317,339,1,2024-09-03 10:58:00,1,17,6,119,14,717,True,False
318,340,1,2026-03-19 10:31:00,1,17,29,147,17,721,True,False
319,341,1,2023-12-12 22:39:00,1,14,33,70,10,722,True,False
320,342,1,2024-11-11 16:17:00,1,17,3,120,13,723,True,False
321,343,2,2025-07-30 15:18:00,1,19,69,112,30,724,True,False
322,344,1,2025-11-17 13:47:00,1,10,35,176,34,727,True,False
323,344,1,2026-05-26 10:50:00,1,17,67,102,33,726,True,False
324,346,1,2025-05-29 00:47:00,1,8,47,185,36,733,True,True
325,346,1,2025-07-29 13:53:00,1,9,62,75,34,734,True,False
326,348,2,2024-01-08 18:13:00,1,13,12,96,6,736,True,False
327,349,2,2025-01-10 10:36:00,1,5,40,107,40,737,True,False
328,350,1,2024-03-26 20:30:00,1,15,16,116,40,739,True,False
329,351,1,2023-03-15 22:52:00,1,19,55,81,18,742,True,True
330,353,2,2024-06-15 02:40:00,1,15,57,108,32,747,True,False
331,353,1,2026-01-20 17:39:00,1,17,6,216,29,747,True,False
332,354,2,2025-10-08 19:03:00,1,3,72,149,20,749,True,False
333,355,1,2025-11-01 08:35:00,1,18,66,114,27,751,True,False
334,356,2,2023-06-12 04:15:00,1,16,52,175,7,752,True,False
335,356,2,2023-06-30 17:56:00,5,1,70,26,10,752,True,True
336,358,2,2023-01-15 12:24:00,1,1,5,31,4,760,True,True
337,358,1,2025-03-04 17:38:00,1,5,30,58,18,760,True,True
338,359,1,2025-05-11 15:20:00,2,11,59,131,40,764,True,True
339,360,2,2025-07-02 00:51:00,2,11,63,114,16,765,True,False
340,361,2,2026-07-18 01:43:00,1,11,41,113,3,767,True,False
341,362,1,2025-11-23 08:45:00,1,20,36,68,3,770,True,False
342,363,2,2023-05-11 09:56:00,1,3,62,14,7,771,True,False
343,364,2,2023-08-22 10:40:00,2,13,51,210,35,773,True,False
344,366,2,2026-01-06 01:55:00,1,15,19,60,20,778,True,False
345,366,2,2025-04-23 15:36:00,1,10,38,7,15,777,True,True
346,367,2,2024-03-22 04:39:00,1,3,41,123,14,779,True,True
347,368,2,2025-01-19 14:45:00,3,19,21,154,10,780,True,True
348,369,1,2023-03-19 04:36:00,1,18,12,85,36,781,True,False
349,370,1,2024-09-06 02:24:00,2,8,48,18,36,783,True,False
350,371,1,2025-08-13 06:19:00,1,13,38,204,25,784,True,True
351,372,2,2026-07-18 18:22:00,1,4,70,73,6,787,True,True
352,373,1,2024-11-20 00:10:00,1,15,22,20,33,789,True,False
353,374,1,2024-04-11 09:53:00,1,10,36,171,31,790,True,True
354,376,2,2025-07-10 09:01:00,1,7,17,152,9,795,True,True
355,377,2,2026-07-23 11:59:00,1,5,4,148,38,796,True,True
356,378,2,2025-02-11 14:29:00,1,7,16,154,25,797,True,True
357,379,2,2025-03-18 07:17:00,1,5,23,208,3,799,True,False
358,380,2,2026-06-10 18:34:00,1,8,6,19,14,801,True,True
359,381,1,2023-07-12 15:55:00,4,12,58,158,5,804,True,False
360,382,1,2024-07-15 09:01:00,1,13,22,55,16,806,True,False
361,384,2,2023-10-14 12:52:00,3,14,7,29,36,810,True,True
362,385,1,2023-05-17 18:37:00,1,13,46,189,25,812,True,False
363,386,2,2025-02-08 08:51:00,1,16,12,77,39,814,True,False
364,388,2,2024-12-04 02:46:00,1,6,27,213,18,820,True,False
365,389,1,2026-03-18 00:19:00,1,6,61,194,16,822,True,False
366,391,2,2025-09-14 09:37:00,1,3,26,39,23,826,True,False
367,393,2,2026-04-22 10:13:00,1,15,9,35,1,832,True,False
368,395,2,2025-06-10 13:06:00,1,15,66,50,4,835,True,False
369,395,2,2024-05-13 02:19:00,1,18,27,150,6,834,True,False
370,398,2,2023-12-16 20:06:00,1,18,2,125,36,841,True,False
371,399,2,2026-07-16 16:20:00,1,20,55,78,9,842,True,False
372,400,1,2023-10-20 13:52:00,1,18,75,169,13,843,True,False
373,402,1,2025-04-07 01:03:00,1,7,24,50,4,848,True,False
374,403,2,2023-10-10 05:18:00,3,1,13,25,19,851,True,False
375,403,1,2023-07-31 10:04:00,1,16,33,82,38,850,True,False
376,406,1,2023-09-21 04:54:00,2,17,18,72,3,859,True,False
377,407,1,2023-12-27 01:23:00,5,5,49,36,2,860,True,False
378,408,2,2025-12-30 09:13:00,1,7,29,148,7,862,True,False
379,408,1,2025-11-24 12:07:00,1,12,28,41,16,862,True,False
380,409,1,2024-03-19 09:11:00,1,11,65,103,20,865,True,False
381,410,1,2024-06-24 18:32:00,1,1,56,110,13,867,True,False
382,410,2,2024-05-21 13:48:00,1,19,59,163,31,866,True,False
383,411,1,2026-06-27 15:53:00,1,12,30,92,26,871,True,False
384,412,2,2026-02-26 02:17:00,4,12,63,196,25,872,True,False
385,413,2,2025-05-02 09:06:00,5,2,35,122,24,873,True,False
386,414,1,2024-08-13 14:49:00,1,12,35,196,26,875,True,True
387,415,2,2023-09-18 20:56:00,1,18,74,142,22,876,True,False
388,416,2,2026-04-28 04:19:00,1,13,14,87,31,878,True,False
389,417,1,2024-10-25 08:13:00,4,7,37,106,36,879,True,False
390,418,1,2025-04-25 03:25:00,1,19,69,38,19,880,True,True
391,419,1,2025-04-30 03:22:00,1,18,29,173,33,881,True,False
392,421,1,2024-05-16 00:31:00,1,3,27,122,9,883,True,True
393,423,1,2024-07-14 17:39:00,1,1,55,209,31,885,True,False
