OccuranceTimeID,CaseMasterID,Location
205,205,"Near Harbour area, Bengaluru Rural"
206,206,"Near North area, Shivamogga"
207,207,"Near New Extension area, Bengaluru Rural"
208,208,"Near East area, Chitradurga"
209,209,"Near Old Town area, Raichur"
210,210,"Near Railway area, Hassan"
211,211,"Near Railway area, Bengaluru Rural"
212,212,"Near South area, Bengaluru Rural"
213,213,"Near Market area, Bengaluru City"
214,214,"Near Harbour area, Kalaburagi"
215,215,"Near Market area, Chikkamagaluru"
216,216,"Near Women area, Davanagere"
217,217,"Near Cantonment area, Mysuru"
218,218,"Near Highway area, Belagavi"
219,219,"Near South area, Chikkamagaluru"
220,220,"Near Highway area, Raichur"
221,221,"Near Central area, Bengaluru Rural"
222,222,"Near Traffic area, Ballari"
223,223,"Near Highway area, Belagavi"
224,224,"Near Women area, Mangaluru (D.K.)"
225,225,"Near Traffic area, Bengaluru Rural"
226,226,"Near Old Town area, Hubballi-Dharwad"
227,227,"Near South area, Ballari"
228,228,"Near Market area, Udupi"
229,229,"Near Rural area, Hubballi-Dharwad"
230,230,"Near Highway area, Shivamogga"
231,231,"Near East area, Belagavi"
232,232,"Near City area, Hubballi-Dharwad"
233,233,"Near South area, Bidar"
234,234,"Near Highway area, Mangaluru (D.K.)"
235,235,"Near New Extension area, Ballari"
236,236,"Near East area, Bengaluru Rural"
237,237,"Near Highway area, Kalaburagi"
238,238,"Near Traffic area, Udupi"
239,239,"Near Lake View area, Hubballi-Dharwad"
240,240,"Near Cyber Crime area, Ballari"
241,241,"Near Cyber Crime area, Bengaluru City"
242,242,"Near South area, Bidar"
243,243,"Near Airport area, Mysuru"
244,244,"Near Industrial Area area, Ballari"
245,245,"Near Railway area, Chitradurga"
246,246,"Near City area, Hassan"
247,247,"Near Lake View area, Kolar"
248,248,"Near Cantonment area, Mandya"
249,249,"Near Cyber Crime area, Mandya"
250,250,"Near East area, Bengaluru Rural"
251,251,"Near Rural area, Bengaluru City"
252,252,"Near New Extension area, Belagavi"
253,253,"Near Traffic area, Vijayapura"
254,254,"Near Central area, Bengaluru Rural"
255,255,"Near Industrial Area area, Bengaluru City"
256,256,"Near Women area, Hubballi-Dharwad"
257,257,"Near Cyber Crime area, Ballari"
258,258,"Near Market area, Bidar"
259,259,"Near New Extension area, Bengaluru City"
260,260,"Near Highway area, Chitradurga"
261,261,"Near Old Town area, Hubballi-Dharwad"
262,262,"Near East area, Kalaburagi"
263,263,"Near Women area, Bengaluru City"
264,264,"Near Lake View area, Davanagere"
265,265,"Near Traffic area, Hubballi-Dharwad"
266,266,"Near Airport area, Mysuru"
267,267,"Near Harbour area, Vijayapura"
268,268,"Near Cantonment area, Davanagere"
269,269,"Near Market area, Davanagere"
270,270,"Near Cyber Crime area, Chitradurga"
271,271,"Near Industrial Area area, Belagavi"
272,272,"Near Harbour area, Udupi"
273,273,"Near New Extension area, Tumakuru"
274,274,"Near Railway area, Hubballi-Dharwad"
275,275,"Near Harbour area, Mangaluru (D.K.)"
276,276,"Near Women area, Chikkamagaluru"
277,277,"Near Industrial Area area, Mysuru"
278,278,"Near South area, Hassan"
279,279,"Near Women area, Hubballi-Dharwad"
280,280,"Near Lake View area, Raichur"
281,281,"Near Cyber Crime area, Belagavi"
282,282,"Near Cyber Crime area, Ballari"
283,283,"Near Airport area, Davanagere"
284,284,"Near Railway area, Hubballi-Dharwad"
285,285,"Near West area, Udupi"
286,286,"Near Railway area, Hassan"
287,287,"Near Highway area, Ballari"
288,288,"Near City area, Davanagere"
289,289,"Near New Extension area, Mandya"
290,290,"Near North area, Hassan"
291,291,"Near Central area, Kalaburagi"
292,292,"Near Highway area, Raichur"
293,293,"Near Industrial Area area, Shivamogga"
294,294,"Near Rural area, Mangaluru (D.K.)"
295,295,"Near West area, Kalaburagi"
296,296,"Near Cantonment area, Udupi"
297,297,"Near Traffic area, Shivamogga"
298,298,"Near Cantonment area, Udupi"
299,299,"Near Railway area, Mangaluru (D.K.)"
300,300,"Near Industrial Area area, Chikkamagaluru"
301,301,"Near North area, Kalaburagi"
302,302,"Near City area, Shivamogga"
303,303,"Near Central area, Mysuru"
304,304,"Near Women area, Chikkamagaluru"
305,305,"Near Central area, Shivamogga"
306,306,"Near East area, Hubballi-Dharwad"
307,307,"Near New Extension area, Mangaluru (D.K.)"
308,308,"Near Cantonment area, Raichur"
309,309,"Near South area, Hubballi-Dharwad"
310,310,"Near Harbour area, Udupi"
311,311,"Near Highway area, Chikkamagaluru"
312,312,"Near North area, Chikkamagaluru"
313,313,"Near Market area, Mandya"
314,314,"Near City area, Vijayapura"
315,315,"Near Railway area, Tumakuru"
316,316,"Near Railway area, Bidar"
317,317,"Near Airport area, Udupi"
318,318,"Near Airport area, Raichur"
319,319,"Near Industrial Area area, Bengaluru City"
320,320,"Near North area, Udupi"
321,321,"Near Highway area, Bidar"
322,322,"Near South area, Bengaluru City"
323,323,"Near City area, Vijayapura"
324,324,"Near Highway area, Ballari"
325,325,"Near Industrial Area area, Chitradurga"
326,326,"Near South area, Udupi"
327,327,"Near South area, Mysuru"
328,328,"Near New Extension area, Kolar"
329,329,"Near East area, Belagavi"
330,330,"Near Harbour area, Hubballi-Dharwad"
331,331,"Near East area, Mandya"
332,332,"Near Rural area, Udupi"
333,333,"Near Old Town area, Chitradurga"
334,334,"Near South area, Vijayapura"
335,335,"Near Traffic area, Bengaluru Rural"
336,336,"Near Market area, Bengaluru Rural"
337,337,"Near Railway area, Belagavi"
338,338,"Near Airport area, Hubballi-Dharwad"
339,339,"Near Traffic area, Bidar"
340,340,"Near Women area, Mangaluru (D.K.)"
341,341,"Near West area, Raichur"
342,342,"Near East area, Vijayapura"
343,343,"Near Industrial Area area, Hubballi-Dharwad"
344,344,"Near Lake View area, Kalaburagi"
345,345,"Near City area, Mysuru"
346,346,"Near Highway area, Hubballi-Dharwad"
347,347,"Near Women area, Kolar"
348,348,"Near Railway area, Bengaluru Rural"
349,349,"Near Industrial Area area, Tumakuru"
350,350,"Near Women area, Raichur"
351,351,"Near Harbour area, Raichur"
352,352,"Near Market area, Kolar"
353,353,"Near Industrial Area area, Shivamogga"
354,354,"Near Airport area, Chitradurga"
355,355,"Near Women area, Chitradurga"
356,356,"Near Harbour area, Bengaluru Rural"
357,357,"Near Old Town area, Mangaluru (D.K.)"
358,358,"Near West area, Hubballi-Dharwad"
359,359,"Near Industrial Area area, Hubballi-Dharwad"
360,360,"Near Central area, Vijayapura"
361,361,"Near Highway area, Chikkamagaluru"
362,362,"Near Old Town area, Chikkamagaluru"
363,363,"Near New Extension area, Raichur"
364,364,"Near Central area, Bidar"
365,365,"Near Harbour area, Bidar"
366,366,"Near Central area, Bengaluru City"
367,367,"Near Cyber Crime area, Mysuru"
368,368,"Near Industrial Area area, Kalaburagi"
369,369,"Near Old Town area, Chikkamagaluru"
370,370,"Near South area, Hubballi-Dharwad"
371,371,"Near Cyber Crime area, Kalaburagi"
372,372,"Near Central area, Mangaluru (D.K.)"
373,373,"Near Harbour area, Hassan"
374,374,"Near New Extension area, Davanagere"
375,375,"Near Women area, Mangaluru (D.K.)"
376,376,"Near Cyber Crime area, Hubballi-Dharwad"
377,377,"Near Cyber Crime area, Chitradurga"
378,378,"Near Cantonment area, Chitradurga"
379,379,"Near Cyber Crime area, Kalaburagi"
380,380,"Near Industrial Area area, Bidar"
381,381,"Near Lake View area, Mysuru"
382,382,"Near Traffic area, Kolar"
383,383,"Near North area, Raichur"
384,384,"Near Airport area, Kolar"
385,385,"Near Airport area, Bengaluru Rural"
386,386,"Near Railway area, Raichur"
387,387,"Near East area, Bengaluru Rural"
388,388,"Near Central area, Kalaburagi"
389,389,"Near City area, Mandya"
390,390,"Near Traffic area, Chikkamagaluru"
391,391,"Near Industrial Area area, Davanagere"
392,392,"Near North area, Mangaluru (D.K.)"
393,393,"Near Central area, Udupi"
394,394,"Near South area, Kalaburagi"
395,395,"Near Cyber Crime area, Hubballi-Dharwad"
396,396,"Near South area, Mysuru"
397,397,"Near Industrial Area area, Chitradurga"
398,398,"Near Lake View area, Tumakuru"
399,399,"Near Market area, Kolar"
400,400,"Near Rural area, Bengaluru Rural"
401,401,"Near Cantonment area, Chitradurga"
402,402,"Near Rural area, Ballari"
403,403,"Near Industrial Area area, Mangaluru (D.K.)"
404,404,"Near Harbour area, Davanagere"
405,405,"Near Cantonment area, Davanagere"
406,406,"Near Lake View area, Tumakuru"
407,407,"Near Lake View area, Ballari"
408,408,"Near Old Town area, Chikkamagaluru"
409,409,"Near South area, Chitradurga"
410,410,"Near Airport area, Bidar"
411,411,"Near Central area, Belagavi"
412,412,"Near Industrial Area area, Vijayapura"
413,413,"Near North area, Chitradurga"
414,414,"Near West area, Belagavi"
415,415,"Near Old Town area, Tumakuru"
416,416,"Near Central area, Hassan"
417,417,"Near Market area, Mysuru"
418,418,"Near Harbour area, Mangaluru (D.K.)"
419,419,"Near Old Town area, Bidar"
420,420,"Near Traffic area, Vijayapura"
421,421,"Near Industrial Area area, Chikkamagaluru"
422,422,"Near East area, Hubballi-Dharwad"
423,423,"Near East area, Kalaburagi"
424,424,"Near Railway area, Bengaluru Rural"
425,425,"Near Central area, Bidar"
426,426,"Near Railway area, Ballari"
427,427,"Near Airport area, Chitradurga"
428,428,"Near Market area, Davanagere"
429,429,"Near Market area, Hubballi-Dharwad"
430,430,"Near North area, Bidar"
431,431,"Near Market area, Tumakuru"
432,432,"Near South area, Hubballi-Dharwad"
433,433,"Near Old Town area, Udupi"
434,434,"Near North area, Bengaluru Rural"
435,435,"Near Harbour area, Ballari"
436,436,"Near City area, Mandya"
437,437,"Near Harbour area, Udupi"
438,438,"Near Lake View area, Tumakuru"
439,439,"Near Harbour area, Bengaluru Rural"
440,440,"Near Airport area, Chikkamagaluru"
441,441,"Near Cantonment area, Davanagere"
442,442,"Near Airport area, Bidar"
443,443,"Near Women area, Belagavi"
444,444,"Near Market area, Bengaluru Rural"
445,445,"Near Highway area, Chitradurga"
446,446,"Near Harbour area, Mangaluru (D.K.)"
447,447,"Near Central area, Hassan"
448,448,"Near Industrial Area area, Kalaburagi"
449,449,"Near Old Town area, Mysuru"
450,450,"Near Cyber Crime area, Udupi"
451,451,"Near Lake View area, Mysuru"
452,452,"Near Traffic area, Kalaburagi"
453,453,"Near North area, Chitradurga"
454,454,"Near Industrial Area area, Kalaburagi"
455,455,"Near Cyber Crime area, Hassan"
456,456,"Near City area, Mandya"
457,457,"Near West area, Hubballi-Dharwad"
458,458,"Near Industrial Area area, Ballari"
459,459,"Near Cantonment area, Bengaluru City"
460,460,"Near East area, Shivamogga"
461,461,"Near West area, Mangaluru (D.K.)"
462,462,"Near East area, Vijayapura"
463,463,"Near Central area, Chitradurga"
464,464,"Near Lake View area, Ballari"
465,465,"Near Rural area, Chikkamagaluru"
466,466,"Near South area, Mangaluru (D.K.)"
467,467,"Near South area, Chikkamagaluru"
468,468,"Near Old Town area, Shivamogga"
469,469,"Near City area, Hubballi-Dharwad"
470,470,"Near Highway area, Hubballi-Dharwad"
471,471,"Near Cantonment area, Shivamogga"
472,472,"Near Market area, Mangaluru (D.K.)"
473,473,"Near Cantonment area, Bidar"
474,474,"Near Market area, Belagavi"
475,475,"Near City area, Mangaluru (D.K.)"
476,476,"Near Market area, Ballari"
477,477,"Near New Extension area, Bengaluru City"
478,478,"Near Harbour area, Shivamogga"
479,479,"Near Women area, Chikkamagaluru"
480,480,"Near New Extension area, Mysuru"
481,481,"Near Central area, Raichur"
482,482,"Near Cyber Crime area, Mysuru"
483,483,"Near Old Town area, Chikkamagaluru"
484,484,"Near Market area, Bengaluru City"
485,485,"Near Harbour area, Kolar"
486,486,"Near Cantonment area, Hubballi-Dharwad"
487,487,"Near Cantonment area, Mandya"
488,488,"Near New Extension area, Kalaburagi"
489,489,"Near Harbour area, Bidar"
490,490,"Near Harbour area, Mysuru"
491,491,"Near North area, Hassan"
492,492,"Near Rural area, Tumakuru"
493,493,"Near Cantonment area, Belagavi"
494,494,"Near Cantonment area, Tumakuru"
495,495,"Near Traffic area, Chitradurga"
496,496,"Near Rural area, Raichur"
497,497,"Near East area, Udupi"
498,498,"Near Traffic area, Mysuru"
499,499,"Near City area, Kalaburagi"
500,500,"Near Old Town area, Udupi"
